SOC Code,Occupation Title,Star Rating,Employment Estimates 2012,Employment Estimates 2022,Annual Growth Rate,Annual Openings Growth,Annual Openings Replacements,Annual Openings Total,Hourly Wages Inexperienced,Hourly Wages Median,Education,Work Experience,Job Training
37-2012,Maids and Housekeeping Cleaners,1,260,270,0.4,0,10,10,8.10,8.70,Less than high school,None,Short-term on-the-job training
37-3000,Grounds Maintenance Workers,,260,320,2.1,10,10,10,,,,,
37-3011,Landscaping and Groundskeeping Workers,1,260,310,2.1,10,10,10,8.10,9.90,Less than high school,None,Short-term on-the-job training
39-0000,Personal Care and Service Occupations,,650,830,2.7,20,20,30,8.10,10.20,,,
39-1000,Supervisors of Personal Care and Service Workers,,50,60,3.1,0,0,0,,,,,
39-1021,First-Line Supervisors of Personal Service Workers,3,50,60,3.1,0,0,0,10.40,13.30,High school diploma or equivalent,Less than 5 years,None
39-2000,Animal Care and Service Workers,,50,60,2.4,0,0,0,,,,,
39-3000,Entertainment Attendants and Related Workers,,60,70,1.6,0,0,0,,,,,
39-9000,Other Personal Care and Service Workers,,430,560,3,10,10,20,,,,,
39-9011,Childcare Workers,1,160,180,1.4,0,10,10,8.10,9.10,High school diploma or equivalent,None,Short-term on-the-job training
39-9021,Personal Care Aides,3,170,230,3.9,10,0,10,8.90,10.50,Less than high school,None,Short-term on-the-job training
39-9032,Recreation Workers,0,50,50,1.7,0,0,0,9.80,11.30,Bachelor's degree,None,None
39-9041,Residential Advisors,4,60,90,6,0,0,10,,,High school diploma or equivalent,None,Short-term on-the-job training
41-0000,Sales and Related Occupations,,2240,2450,0.9,20,70,100,8.20,9.80,,,
41-1000,Supervisors of Sales Workers,,400,420,0.6,0,10,10,,,,,
41-1011,First-Line Supervisors of Retail Sales Workers,3,390,410,0.6,0,10,10,9.10,12.40,High school diploma or equivalent,Less than 5 years,None
41-2000,Retail Sales Workers,,1590,1720,0.8,10,60,80,,,,,
41-2011,Cashiers,1,830,820,-0.2,0,40,40,8.20,8.90,Less than high school,None,Short-term on-the-job training
41-2021,Counter and Rental Clerks,1,50,60,3,0,0,0,8.30,9.50,Less than high school,None,Short-term on-the-job training
41-2022,Parts Salespersons,4,90,110,2.1,0,0,0,12.20,14.10,Less than high school,None,Moderate-term on-the-job training
41-2031,Retail Salespersons,3,620,730,1.8,10,20,30,8.20,10.50,Less than high school,None,Short-term on-the-job training
41-3000,"Sales Representatives, Services",,90,110,2.1,0,0,0,,,,,
41-3021,Insurance Sales Agents,3,60,70,2.2,0,0,0,8.10,9.50,High school diploma or equivalent,None,Moderate-term on-the-job training
41-4000,"Sales Representatives, Wholesale and Manufacturing",,130,160,2.5,0,0,10,,,,,
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",5,130,160,2.5,0,0,10,12.70,18.10,High school diploma or equivalent,None,Moderate-term on-the-job training
43-0000,Office and Administrative Support Occupations,,2700,3050,1.3,40,60,90,9.00,12.50,,,
43-1000,Supervisors of Office and Administrative Support Workers,,130,140,1.3,0,0,10,,,,,
43-1011,First-Line Supervisors of Office and Administrative Support Workers,4,130,140,1.3,0,0,10,15.60,22.40,High school diploma or equivalent,Less than 5 years,None
43-3000,Financial Clerks,,490,540,1.2,10,10,20,,,,,
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",4,290,330,1.4,0,0,10,10.30,14.30,High school diploma or equivalent,None,Moderate-term on-the-job training
43-3051,Payroll and Timekeeping Clerks,3,50,50,2,0,0,0,12.40,16.90,High school diploma or equivalent,None,Moderate-term on-the-job training
43-3071,Tellers,3,100,100,-0.2,0,10,10,9.30,11.10,High school diploma or equivalent,None,Short-term on-the-job training
43-4000,Information and Record Clerks,,540,620,1.3,10,20,20,,,,,
43-4031,"Court, Municipal, and License Clerks",3,50,60,1.1,0,0,0,9.00,13.60,High school diploma or equivalent,None,Moderate-term on-the-job training
43-4051,Customer Service Representatives,4,100,120,1.9,0,0,10,9.50,14.30,High school diploma or equivalent,None,Short-term on-the-job training
43-4061,"Eligibility Interviewers, Government Programs",,40,50,1.7,0,0,0,,,High school diploma or equivalent,None,Moderate-term on-the-job training
43-4081,"Hotel, Motel, and Resort Desk Clerks",1,80,90,1.3,0,0,10,,,High school diploma or equivalent,None,Short-term on-the-job training
43-4171,Receptionists and Information Clerks,3,150,170,1.4,0,0,10,9.20,10.80,High school diploma or equivalent,None,Short-term on-the-job training
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",,390,420,0.7,0,10,10,,,,,
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",3,50,60,2.4,0,0,0,18.50,22.50,High school diploma or equivalent,None,Moderate-term on-the-job training
43-5052,Postal Service Mail Carriers,,40,40,0.3,0,0,0,18.00,26.10,High school diploma or equivalent,None,Short-term on-the-job training
43-5071,"Shipping, Receiving, and Traffic Clerks",,40,40,2.3,0,0,0,10.00,12.70,High school diploma or equivalent,None,Short-term on-the-job training
43-5081,Stock Clerks and Order Fillers,1,190,200,0.4,0,10,10,8.20,9.40,Less than high school,None,Short-term on-the-job training
43-6000,Secretaries and Administrative Assistants,,580,700,2,10,10,20,,,,,
43-6013,Medical Secretaries,,40,50,2.9,0,0,0,11.40,13.80,High school diploma or equivalent,None,Moderate-term on-the-job training
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3,500,610,2.1,10,10,20,9.40,13.40,High school diploma or equivalent,None,Short-term on-the-job training
43-9000,Other Office and Administrative Support Workers,,560,620,1.1,10,10,20,,,,,
43-9061,"Office Clerks, General",3,530,590,1.1,10,10,20,8.20,10.90,High school diploma or equivalent,None,Short-term on-the-job training
45-0000,"Farming, Fishing, and Forestry Occupations",,1210,1180,-0.2,0,40,40,12.70,16.20,,,
45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",,50,50,-0.2,0,0,0,,,,,
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3,50,50,-0.2,0,0,0,,,High school diploma or equivalent,Less than 5 years,None
45-2000,Agricultural Workers,,1140,1100,-0.3,0,30,40,,,,,
45-2091,Agricultural Equipment Operators,3,80,80,0.5,0,0,0,,,Less than high school,None,Short-term on-the-job training
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",3,890,840,-0.5,0,30,30,,,Less than high school,None,Short-term on-the-job training
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,120,120,0.4,0,0,0,16.50,16.90,Less than high school,None,Short-term on-the-job training
47-0000,Construction and Extraction Occupations,,1360,1610,1.9,30,20,50,12.50,17.40,,,
47-1000,Supervisors of Construction and Extraction Workers,,130,160,2.1,0,0,0,,,,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,4,130,160,2.1,0,0,0,18.10,27.40,High school diploma or equivalent,5 years or more,None
47-2000,Construction Trades Workers,,860,1040,2.1,20,20,30,,,,,
47-2031,Carpenters,4,90,110,2.3,0,0,0,13.40,16.40,High school diploma or equivalent,None,Apprenticeship
47-2051,Cement Masons and Concrete Finishers,2,110,120,0.9,0,0,0,,,Less than high school,None,Moderate-term on-the-job training
47-2061,Construction Laborers,3,170,220,2.8,10,0,10,8.30,11.20,Less than high school,None,Short-term on-the-job training
47-2073,Operating Engineers and Other Construction Equipment Operators,4,170,180,0.9,0,0,10,16.00,19.10,High school diploma or equivalent,None,Moderate-term on-the-job training
47-2081,Drywall and Ceiling Tile Installers,,40,60,4.5,0,0,0,,,Less than high school,None,Moderate-term on-the-job training
47-2111,Electricians,3,110,120,0.8,0,0,0,14.40,17.20,High school diploma or equivalent,None,Apprenticeship
47-2181,Roofers,,40,60,4.4,0,0,0,,,Less than high school,None,Moderate-term on-the-job training
47-4000,Other Construction and Related Workers,,100,110,0.7,0,0,0,,,,,
47-4051,Highway Maintenance Workers,2,70,70,0.4,0,0,0,13.20,16.90,High school diploma or equivalent,None,Moderate-term on-the-job training
47-5000,Extraction Workers,,250,290,1.5,0,10,10,,,,,
47-5041,Continuous Mining Machine Operators,3,80,90,1.6,0,0,0,,,High school diploma or equivalent,None,Moderate-term on-the-job training
47-5042,Mine Cutting and Channeling Machine Operators,2,50,60,1.3,0,0,0,,,High school diploma or equivalent,None,Moderate-term on-the-job training
47-5051,"Rock Splitters, Quarry",,40,50,3.4,0,0,0,,,High school diploma or equivalent,None,Short-term on-the-job training
47-5071,"Roustabouts, Oil and Gas",2,70,70,0.3,0,0,0,,,Less than high school,None,Moderate-term on-the-job training
49-0000,"Installation, Maintenance, and Repair Occupations",,1440,1660,1.6,20,30,60,12.90,20.40,,,
49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",,120,130,0.9,0,0,0,,,,,
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",4,120,130,0.9,0,0,0,18.20,27.00,High school diploma or equivalent,Less than 5 years,None
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",,310,310,0.2,0,10,10,,,,,
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",2,70,70,0.3,0,0,0,17.00,28.10,Postsecondary non-degree award,None,Moderate-term on-the-job training
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",4,220,220,0.1,0,0,0,,,Postsecondary non-degree award,None,Long-term on-the-job training
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",,470,560,1.9,10,10,20,,,,,
49-3023,Automotive Service Technicians and Mechanics,4,200,220,0.9,0,10,10,12.10,16.40,High school diploma or equivalent,None,Long-term on-the-job training
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,5,110,140,2.4,0,0,10,15.80,18.30,High school diploma or equivalent,None,Long-term on-the-job training
49-3041,Farm Equipment Mechanics and Service Technicians,4,50,80,5.5,0,0,0,,,High school diploma or equivalent,None,Long-term on-the-job training
49-9000,"Other Installation, Maintenance, and Repair Occupations",,540,660,2.2,10,10,30,,,,,
49-9041,Industrial Machinery Mechanics,5,100,140,3.8,0,0,10,,,High school diploma or equivalent,None,Long-term on-the-job training
49-9051,Electrical Power-Line Installers and Repairers,2,60,60,0.2,0,0,0,23.70,33.60,High school diploma or equivalent,None,Long-term on-the-job training
49-9071,"Maintenance and Repair Workers, General",4,250,290,1.7,0,10,10,9.50,15.00,High school diploma or equivalent,None,Long-term on-the-job training
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",3,50,50,1.7,0,0,0,9.50,12.80,High school diploma or equivalent,None,Moderate-term on-the-job training
51-0000,Production Occupations,,1320,1580,2,30,30,60,9.90,14.50,,,
51-1000,Supervisors of Production Workers,,90,120,2.9,0,0,0,,,,,
51-1011,First-Line Supervisors of Production and Operating Workers,4,90,120,2.9,0,0,0,15.80,27.00,Postsecondary non-degree award,Less than 5 years,None
51-2000,Assemblers and Fabricators,,70,110,5.9,0,0,10,,,,,
51-3000,Food Processing Workers,,310,330,0.4,0,10,10,,,,,
51-3023,Slaughterers and Meat Packers,3,260,260,0.1,0,10,10,,,Less than high school,None,Short-term on-the-job training
51-4000,Metal Workers and Plastic Workers,,140,210,4.5,10,0,10,,,,,
51-4121,"Welders, Cutters, Solderers, and Brazers",4,110,160,4.4,10,0,10,13.00,16.30,High school diploma or equivalent,None,Moderate-term on-the-job training
51-6000,"Textile, Apparel, and Furnishings Workers",,90,100,1.5,0,0,0,,,,,
51-6011,Laundry and Dry-Cleaning Workers,,40,40,1.3,0,0,0,8.20,8.60,Less than high school,None,Short-term on-the-job training
51-8000,Plant and System Operators,,150,150,-0.4,0,10,10,,,,,
51-8012,Power Distributors and Dispatchers,,40,40,0,0,0,0,,,High school diploma or equivalent,None,Long-term on-the-job training
51-8013,Power Plant Operators,2,80,70,-1.2,0,0,0,,,High school diploma or equivalent,None,Long-term on-the-job training
51-9000,Other Production Occupations,,430,550,2.7,10,10,20,,,,,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",,40,50,2.8,0,0,0,12.50,17.50,High school diploma or equivalent,None,Moderate-term on-the-job training
51-9082,Medical Appliance Technicians,,40,60,3.3,0,0,0,,,High school diploma or equivalent,None,Long-term on-the-job training
51-9111,Packaging and Filling Machine Operators and Tenders,4,160,230,3.7,10,0,10,11.10,15.70,High school diploma or equivalent,None,Moderate-term on-the-job training
51-9198,Helpers--Production Workers,0,50,50,0.2,0,0,0,9.90,10.90,Less than high school,None,Short-term on-the-job training
53-0000,Transportation and Material Moving Occupations,,2300,2880,2.5,60,50,100,11.60,19.80,,,
53-1000,Supervisors of Transportation and Material Moving Workers,,80,110,3.5,0,0,10,,,,,
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,5,70,100,3.8,0,0,10,19.50,25.20,High school diploma or equivalent,Less than 5 years,None
53-3000,Motor Vehicle Operators,,1530,1900,2.4,40,30,60,,,,,
53-3022,"Bus Drivers, School or Special Client",1,100,110,1,0,0,0,8.70,14.80,High school diploma or equivalent,None,Short-term on-the-job training
53-3031,Driver/Sales Workers,3,80,100,1.8,0,0,0,13.20,15.80,High school diploma or equivalent,None,Short-term on-the-job training
53-3032,Heavy and Tractor-Trailer Truck Drivers,5,1170,1470,2.5,30,20,50,18.20,22.20,Postsecondary non-degree award,None,Short-term on-the-job training
53-3033,Light Truck or Delivery Services Drivers,4,160,200,2.6,0,0,10,9.50,16.60,High school diploma or equivalent,None,Short-term on-the-job training
53-7000,Material Moving Workers,,660,850,2.7,20,20,40,,,,,
53-7032,Excavating and Loading Machine and Dragline Operators,3,60,80,2.8,0,0,0,14.80,21.60,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",1,290,380,3,10,10,20,8.10,10.30,Less than high school,None,Short-term on-the-job training
53-7064,"Packers and Packagers, Hand",3,80,110,4.1,0,0,10,,,Less than high school,None,Short-term on-the-job training
53-7111,Mine Shuttle Car Operators,4,80,100,1.6,0,0,0,,,Less than high school,None,Short-term on-the-job training
