SOC Code,Occupation Title,Star Rating,Employment Estimates 2012,Employment Estimates 2022,Annual Growth Rate,Annual Openings Growth,Annual Openings Replacements,Annual Openings Total,Hourly Wages Inexperienced,Hourly Wages Median,Education,Work Experience,Job Training
13-1111,Management Analysts,4,110,160,5.2,10,0,10,11.70,23.10,Bachelor's degree,Less than 5 years,None
13-1151,Training and Development Specialists,2,50,70,3.3,0,0,0,14.00,18.00,Bachelor's degree,Less than 5 years,None
13-1161,Market Research Analysts and Marketing Specialists,3,70,100,4.6,0,0,0,13.30,20.00,Bachelor's degree,None,None
13-1199,"Business Operations Specialists, All Other",,110,130,2.6,0,0,10,19.10,28.80,High school diploma or equivalent,None,None
13-2000,Financial Specialists,,680,940,3.9,30,20,40,,,,,
13-2011,Accountants and Auditors,5,330,450,3.6,10,10,20,16.50,24.10,Bachelor's degree,None,None
13-2052,Personal Financial Advisors,2,60,80,3.6,0,0,0,20.60,27.70,Bachelor's degree,None,None
13-2072,Loan Officers,4,80,130,5.2,0,0,10,12.60,17.00,Bachelor's degree,None,Moderate-term on-the-job training
35-2000,Cooks and Food Preparation Workers,,1340,1770,3.2,40,30,70,,,,,
13-2082,Tax Preparers,3,50,60,3.8,0,0,0,11.80,16.70,High school diploma or equivalent,None,Moderate-term on-the-job training
15-0000,Computer and Mathematical Occupations,,510,660,2.9,20,10,20,15.70,25.20,,,
15-1100,Computer Occupations,,510,650,2.8,10,10,20,,,,,
15-1131,Computer Programmers,2,50,60,1.7,0,0,0,19.70,31.40,Bachelor's degree,None,None
15-1132,"Software Developers, Applications",2,120,140,2,0,0,0,22.30,31.90,Bachelor's degree,None,None
15-1134,Web Developers,4,90,130,4.4,0,0,10,16.90,23.00,Associate's degree,None,None
15-1151,Computer User Support Specialists,3,120,160,3.3,0,0,10,11.90,17.30,"Some college, no degree",None,Moderate-term on-the-job training
17-0000,Architecture and Engineering Occupations,,450,580,3,10,10,20,19.10,27.60,,,
17-1000,"Architects, Surveyors, and Cartographers",,40,50,3,0,0,0,,,,,
17-2000,Engineers,,290,380,3.2,10,10,20,,,,,
17-2051,Civil Engineers,4,100,140,4.2,0,0,10,25.30,33.00,Bachelor's degree,None,None
17-2072,"Electronics Engineers, Except Computer",3,140,170,2.4,0,0,10,23.30,28.20,Bachelor's degree,None,None
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",,120,150,2.6,0,0,10,,,,,
17-3011,Architectural and Civil Drafters,2,50,60,1.5,0,0,0,14.30,20.00,Associate's degree,None,None
19-0000,"Life, Physical, and Social Science Occupations",,270,350,2.9,10,10,20,13.30,21.50,,,
19-1000,Life Scientists,,40,60,3,0,0,0,,,,,
19-3000,Social Scientists and Related Workers,,100,140,4.1,0,0,10,,,,,
19-3031,"Clinical, Counseling, and School Psychologists",3,80,100,3.3,0,0,0,18.30,29.50,Doctoral or professional degree,None,Internship/residency
19-4000,"Life, Physical, and Social Science Technicians",,110,140,2,0,0,10,,,,,
21-0000,Community and Social Service Occupations,,910,1290,4.2,40,20,60,11.20,17.70,,,
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",,830,1190,4.3,40,20,60,,,,,
21-1012,"Educational, Guidance, School, and Vocational Counselors",4,70,110,5.4,0,0,10,15.70,19.60,Master's degree,None,None
21-1014,Mental Health Counselors,,40,60,5,0,0,0,16.40,21.00,Master's degree,None,Internship/residency
21-1015,Rehabilitation Counselors,3,60,80,3.7,0,0,0,16.30,23.30,Master's degree,None,None
21-1021,"Child, Family, and School Social Workers",,40,50,4.6,0,0,0,16.80,21.50,Bachelor's degree,None,None
21-1022,Healthcare Social Workers,5,150,220,4.9,10,0,10,13.90,24.70,Master's degree,None,None
21-1023,Mental Health and Substance Abuse Social Workers,4,220,300,3.6,10,10,10,11.00,16.20,Bachelor's degree,None,None
21-1093,Social and Human Service Assistants,3,170,240,4.3,10,0,10,10.20,11.20,High school diploma or equivalent,None,Short-term on-the-job training
21-2000,Religious Workers,,80,100,3.5,0,0,10,,,,,
21-2099,"Religious Workers, All Other",,40,40,2.6,0,0,0,,,Bachelor's degree,None,None
23-0000,Legal Occupations,,380,540,4.1,20,10,20,16.70,25.60,,,
23-1000,"Lawyers, Judges, and Related Workers",,230,330,4.3,10,0,10,,,,,
23-1011,Lawyers,5,220,310,4.4,10,0,10,21.80,33.70,Doctoral or professional degree,None,None
23-2000,Legal Support Workers,,150,220,4,10,0,10,,,,,
23-2011,Paralegals and Legal Assistants,4,90,130,4.9,0,0,10,14.70,17.30,Associate's degree,None,None
23-2093,"Title Examiners, Abstractors, and Searchers",,40,50,2.6,0,0,0,18.60,23.80,High school diploma or equivalent,None,Short-term on-the-job training
25-0000,"Education, Training, and Library Occupations",,3210,4330,3.5,110,70,180,10.20,16.40,,,
25-1000,Postsecondary Teachers,,540,830,5.3,30,10,40,,,,,
25-1194,"Vocational Education Teachers, Postsecondary",3,110,150,3.1,0,0,10,12.30,17.00,Bachelor's degree,Less than 5 years,None
25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",,1420,1890,3.3,50,30,80,,,,,
25-2011,"Preschool Teachers, Except Special Education",1,100,130,3.3,0,0,10,8.10,9.10,Associate's degree,None,None
25-2021,"Elementary School Teachers, Except Special Education",5,560,760,3.6,20,10,30,28962.00,36595.00,Bachelor's degree,None,Internship/residency
25-2053,"Special Education Teachers, Middle School",2,50,60,2.8,0,0,0,22106.00,30782.00,Bachelor's degree,None,Internship/residency
25-3000,Other Teachers and Instructors,,460,590,3,10,10,20,,,,,
25-3021,Self-Enrichment Education Teachers,3,140,180,3.3,10,0,10,8.70,13.40,High school diploma or equivalent,Less than 5 years,None
25-3099,"Teachers and Instructors, All Other",,40,50,2.9,0,0,0,25774.00,41032.00,Bachelor's degree,None,Internship/residency
25-4000,"Librarians, Curators, and Archivists",,50,70,3.5,0,0,0,,,,,
25-9000,"Other Education, Training, and Library Occupations",,740,960,2.9,20,20,40,,,,,
25-9031,Instructional Coordinators,3,140,190,3.3,10,0,10,18.30,36.40,Master's degree,5 years or more,None
25-9041,Teacher Assistants,3,600,770,2.8,20,10,30,21119.00,22712.00,"Some college, no degree",None,None
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",,680,860,2.5,20,20,30,9.20,14.40,,,
27-1000,Art and Design Workers,,310,380,2.4,10,10,20,,,,,
27-1023,Floral Designers,,40,50,2.1,0,0,0,8.80,11.90,High school diploma or equivalent,None,Moderate-term on-the-job training
27-1024,Graphic Designers,3,140,170,2.1,0,0,10,10.20,14.80,Bachelor's degree,None,None
27-2000,"Entertainers and Performers, Sports and Related Workers",,90,120,3.1,0,0,10,,,,,
27-3000,Media and Communication Workers,,200,250,2.4,10,10,10,,,,,
27-3041,Editors,,40,50,1.4,0,0,0,8.30,10.00,Bachelor's degree,Less than 5 years,None
27-4000,Media and Communication Equipment Workers,,90,110,2.7,0,0,0,,,,,
27-4011,Audio and Video Equipment Technicians,,40,50,3.6,0,0,0,8.30,9.50,Postsecondary non-degree award,None,Short-term on-the-job training
29-0000,Healthcare Practitioners and Technical Occupations,,3200,4480,4,130,70,190,16.10,28.30,,,
29-1000,Health Diagnosing and Treating Practitioners,,2030,2800,3.8,80,40,120,,,,,
29-1021,"Dentists, General",2,110,140,3.1,0,0,10,34.50,45.10,Doctoral or professional degree,None,None
29-1051,Pharmacists,5,130,180,3.4,0,0,10,38.10,59.50,Doctoral or professional degree,None,None
29-1062,Family and General Practitioners,3,80,100,3.2,0,0,0,59.90,77.40,Doctoral or professional degree,None,Internship/residency
29-1069,"Physicians and Surgeons, All Other",5,110,150,3.5,0,0,10,82.30,90.30,Doctoral or professional degree,None,Internship/residency
29-1123,Physical Therapists,4,70,100,4.4,0,0,10,33.40,42.40,Doctoral or professional degree,None,None
29-1127,Speech-Language Pathologists,,40,60,3.2,0,0,0,13.30,25.90,Master's degree,None,None
29-1141,Registered Nurses,5,1010,1440,4.2,40,20,60,22.30,27.50,Associate's degree,None,None
29-1171,Nurse Practitioners,2,60,80,4,0,0,0,35.40,47.10,Master's degree,None,None
29-2000,Health Technologists and Technicians,,1120,1610,4.4,50,20,70,,,,,
51-4000,Metal Workers and Plastic Workers,,350,470,3.6,10,10,20,,,,,
29-2012,Medical and Clinical Laboratory Technicians,3,50,70,4.8,0,0,0,11.70,15.30,Associate's degree,None,None
29-2021,Dental Hygienists,5,210,310,4.6,10,10,20,31.70,33.10,Associate's degree,None,None
29-2041,Emergency Medical Technicians and Paramedics,3,140,200,4.2,10,0,10,9.80,12.40,Postsecondary non-degree award,None,None
29-2052,Pharmacy Technicians,4,150,210,4,10,0,10,12.70,15.00,High school diploma or equivalent,None,Moderate-term on-the-job training
29-2055,Surgical Technologists,,40,80,7.3,0,0,0,16.90,20.90,Postsecondary non-degree award,None,None
29-2061,Licensed Practical and Licensed Vocational Nurses,3,70,90,4.1,0,0,10,17.00,20.70,Postsecondary non-degree award,None,None
29-2071,Medical Records and Health Information Technicians,3,70,90,3.9,0,0,10,10.80,13.10,Postsecondary non-degree award,None,None
29-9000,Other Healthcare Practitioners and Technical Occupations,,60,80,3.5,0,0,0,,,,,
31-0000,Healthcare Support Occupations,,1740,2440,4,70,30,100,10.10,11.80,,,
31-1000,"Nursing, Psychiatric, and Home Health Aides",,830,1190,4.3,40,20,50,,,,,
31-1014,Nursing Assistants,3,570,800,4.2,20,10,40,10.00,11.00,Postsecondary non-degree award,None,None
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,,80,110,4.7,0,0,10,,,,,
31-2021,Physical Therapist Assistants,,40,60,5.1,0,0,0,18.60,24.70,Associate's degree,None,None
31-2022,Physical Therapist Aides,,40,50,4.3,0,0,0,9.30,10.60,High school diploma or equivalent,None,Short-term on-the-job training
31-9000,Other Healthcare Support Occupations,,830,1130,3.7,30,20,50,,,,,
31-9011,Massage Therapists,3,120,170,4.5,10,0,10,13.60,20.80,Postsecondary non-degree award,None,None
31-9091,Dental Assistants,3,240,320,3.6,10,10,10,10.50,13.20,Postsecondary non-degree award,None,None
31-9092,Medical Assistants,3,330,450,3.7,10,10,20,10.20,12.90,Postsecondary non-degree award,None,None
31-9097,Phlebotomists,3,90,120,3.9,0,0,10,11.50,13.30,Postsecondary non-degree award,None,None
33-0000,Protective Service Occupations,,750,980,3.1,20,30,50,10.10,17.10,,,
33-1000,Supervisors of Protective Service Workers,,90,120,2.9,0,0,10,,,,,
33-1012,First-Line Supervisors of Police and Detectives,2,60,70,3,0,0,0,24.50,28.70,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
33-2000,Fire Fighting and Prevention Workers,,60,80,3.2,0,0,0,,,,,
33-3000,Law Enforcement Workers,,270,350,3.3,10,10,20,,,,,
33-3051,Police and Sheriff's Patrol Officers,4,190,250,3.3,10,10,10,17.60,21.10,High school diploma or equivalent,None,Moderate-term on-the-job training
33-9000,Other Protective Service Workers,,330,430,2.9,10,10,20,,,,,
33-9032,Security Guards,0,70,100,2.8,0,0,0,9.60,12.80,High school diploma or equivalent,None,Short-term on-the-job training
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1,110,140,3.3,0,10,10,8.10,8.50,High school diploma or equivalent,None,Short-term on-the-job training
33-9099,"Protective Service Workers, All Other",,70,80,2.4,0,10,10,14.90,19.30,High school diploma or equivalent,None,Short-term on-the-job training
35-0000,Food Preparation and Serving Related Occupations,,4950,6620,3.4,170,190,360,8.10,9.00,,,
35-1000,Supervisors of Food Preparation and Serving Workers,,370,520,3.8,10,10,20,,,,,
35-1011,Chefs and Head Cooks,,40,50,3.1,0,0,0,12.90,16.90,High school diploma or equivalent,5 years or more,None
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,3,340,470,3.9,10,10,20,10.20,13.70,High school diploma or equivalent,Less than 5 years,None
35-2011,"Cooks, Fast Food",1,220,280,2.4,10,0,10,8.10,8.80,Less than high school,None,Short-term on-the-job training
35-2012,"Cooks, Institution and Cafeteria",3,170,220,3.1,10,0,10,9.70,11.70,Less than high school,None,Short-term on-the-job training
35-2014,"Cooks, Restaurant",1,440,630,4.3,20,10,30,8.10,10.30,Less than high school,Less than 5 years,Moderate-term on-the-job training
35-2021,Food Preparation Workers,1,460,580,2.8,10,10,30,8.00,9.30,Less than high school,None,Short-term on-the-job training
35-3000,Food and Beverage Serving Workers,,2590,3480,3.5,90,110,200,,,,,
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",1,1170,1640,4,50,50,90,8.10,8.50,Less than high school,None,Short-term on-the-job training
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1,170,220,2.4,0,10,20,8.10,9.00,Less than high school,None,Short-term on-the-job training
35-3031,Waiters and Waitresses,1,1080,1410,3.1,30,50,90,8.10,8.70,Less than high school,None,Short-term on-the-job training
35-3041,"Food Servers, Nonrestaurant",1,130,170,3.1,0,0,10,8.10,9.50,Less than high school,None,Short-term on-the-job training
35-9000,Other Food Preparation and Serving Related Workers,,650,850,3.1,20,40,60,,,,,
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,1,160,220,3.2,10,10,10,8.10,8.80,Less than high school,None,Short-term on-the-job training
35-9021,Dishwashers,1,270,350,3.1,10,10,20,8.10,8.60,Less than high school,None,Short-term on-the-job training
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1,220,290,3.2,10,20,20,8.10,8.70,Less than high school,None,None
37-0000,Building and Grounds Cleaning and Maintenance Occupations,,3130,4180,3.3,110,70,170,8.10,9.80,,,
37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,,300,410,3.9,10,10,20,,,,,
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,4,120,160,3.6,0,0,10,13.90,16.70,High school diploma or equivalent,Less than 5 years,None
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",5,180,250,4.1,10,0,10,14.80,17.90,High school diploma or equivalent,Less than 5 years,None
37-2000,Building Cleaning and Pest Control Workers,,1740,2240,2.9,50,30,80,,,,,
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1,720,980,3.7,30,10,40,8.10,9.60,Less than high school,None,Short-term on-the-job training
37-2012,Maids and Housekeeping Cleaners,1,1000,1210,2.2,20,20,40,8.10,9.20,Less than high school,None,Short-term on-the-job training
37-3000,Grounds Maintenance Workers,,1090,1520,4,40,30,70,,,,,
37-3011,Landscaping and Groundskeeping Workers,1,1060,1490,4,40,30,70,8.10,10.10,Less than high school,None,Short-term on-the-job training
39-0000,Personal Care and Service Occupations,,1820,2460,3.6,70,50,120,8.10,10.60,,,
39-1000,Supervisors of Personal Care and Service Workers,,90,120,3.2,0,0,10,,,,,
39-1021,First-Line Supervisors of Personal Service Workers,3,90,120,3.2,0,0,10,10.40,15.90,High school diploma or equivalent,Less than 5 years,None
39-2000,Animal Care and Service Workers,,80,110,4.8,0,0,10,,,,,
39-3000,Entertainment Attendants and Related Workers,,220,270,2.1,10,10,20,,,,,
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",0,80,70,-0.6,0,0,0,8.00,8.50,Less than high school,None,Short-term on-the-job training
39-3091,Amusement and Recreation Attendants,1,120,160,4.1,10,10,10,8.10,8.60,Less than high school,None,Short-term on-the-job training
39-5000,Personal Appearance Workers,,210,300,4.5,10,0,10,,,,,
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",3,160,230,4.2,10,0,10,8.10,10.90,Postsecondary non-degree award,None,None
39-7000,Tour and Travel Guides,,110,150,3.9,0,10,10,,,,,
39-9000,Other Personal Care and Service Workers,,1080,1470,3.6,40,30,70,,,,,
39-9011,Childcare Workers,1,410,520,2.5,10,10,20,9.30,10.80,High school diploma or equivalent,None,Short-term on-the-job training
39-9031,Fitness Trainers and Aerobics Instructors,1,110,150,3.7,0,0,10,9.60,16.70,High school diploma or equivalent,None,Short-term on-the-job training
39-9032,Recreation Workers,1,250,360,4.3,10,0,10,8.20,10.60,Bachelor's degree,None,None
39-9041,Residential Advisors,1,230,350,5.4,10,10,20,8.20,10.70,High school diploma or equivalent,None,Short-term on-the-job training
41-0000,Sales and Related Occupations,,6890,8890,2.9,200,210,410,8.20,11.20,,,
41-1000,Supervisors of Sales Workers,,910,1140,2.5,20,20,40,,,,,
41-1011,First-Line Supervisors of Retail Sales Workers,4,820,1040,2.6,20,20,40,12.50,16.80,High school diploma or equivalent,Less than 5 years,None
41-1012,First-Line Supervisors of Non-Retail Sales Workers,2,90,100,1.8,0,0,0,17.40,25.80,High school diploma or equivalent,Less than 5 years,None
41-2000,Retail Sales Workers,,4510,5770,2.8,130,170,290,,,,,
41-2011,Cashiers,1,1710,2120,2.4,40,70,110,8.20,9.00,Less than high school,None,Short-term on-the-job training
41-2021,Counter and Rental Clerks,3,160,210,3.3,10,0,10,8.50,12.90,Less than high school,None,Short-term on-the-job training
41-2022,Parts Salespersons,3,150,180,2.5,0,0,10,9.90,15.20,Less than high school,None,Moderate-term on-the-job training
41-2031,Retail Salespersons,1,2490,3260,3.1,80,90,160,8.20,10.60,Less than high school,None,Short-term on-the-job training
41-3000,"Sales Representatives, Services",,480,600,2.5,10,10,30,,,,,
41-3011,Advertising Sales Agents,2,80,100,2.2,0,0,10,12.90,24.90,High school diploma or equivalent,None,Moderate-term on-the-job training
41-3021,Insurance Sales Agents,4,120,160,3.1,0,0,10,14.10,19.20,High school diploma or equivalent,None,Moderate-term on-the-job training
41-3099,"Sales Representatives, Services, All Other",,250,310,2.2,10,10,10,9.80,16.10,High school diploma or equivalent,None,Short-term on-the-job training
41-4000,"Sales Representatives, Wholesale and Manufacturing",,500,670,3.5,20,10,30,,,,,
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3,90,120,3.3,0,0,10,21.60,27.50,Bachelor's degree,None,Moderate-term on-the-job training
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",5,410,550,3.5,10,10,20,10.30,18.40,High school diploma or equivalent,None,Moderate-term on-the-job training
41-9000,Other Sales and Related Workers,,500,700,4.1,20,10,30,,,,,
41-9022,Real Estate Sales Agents,5,400,560,4,20,0,20,16.20,22.60,High school diploma or equivalent,None,Long-term on-the-job training
43-0000,Office and Administrative Support Occupations,,8450,11210,3.3,280,190,470,9.40,12.90,,,
43-1000,Supervisors of Office and Administrative Support Workers,,450,620,3.7,20,10,30,,,,,
43-1011,First-Line Supervisors of Office and Administrative Support Workers,5,450,620,3.7,20,10,30,14.20,19.40,High school diploma or equivalent,Less than 5 years,None
43-2000,Communications Equipment Operators,,250,350,4.2,10,10,20,,,,,
43-3000,Financial Clerks,,1110,1570,4.2,50,20,70,,,,,
43-3011,Bill and Account Collectors,3,60,90,3.9,0,0,0,9.20,11.60,High school diploma or equivalent,None,Moderate-term on-the-job training
43-3021,Billing and Posting Clerks,3,140,210,4.2,10,0,10,11.60,14.00,High school diploma or equivalent,None,Short-term on-the-job training
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",4,550,760,3.8,20,10,30,10.70,14.30,High school diploma or equivalent,None,Moderate-term on-the-job training
43-3051,Payroll and Timekeeping Clerks,,40,50,3.1,0,0,0,11.30,17.10,High school diploma or equivalent,None,Moderate-term on-the-job training
43-3061,Procurement Clerks,,40,50,2.9,0,0,0,10.50,13.10,High school diploma or equivalent,None,Moderate-term on-the-job training
43-3071,Tellers,1,270,420,5.5,20,10,30,10.20,10.80,High school diploma or equivalent,None,Short-term on-the-job training
43-4000,Information and Record Clerks,,2430,3150,3,70,70,140,,,,,
43-4031,"Court, Municipal, and License Clerks",,40,50,3.5,0,0,0,12.20,14.30,High school diploma or equivalent,None,Moderate-term on-the-job training
43-4051,Customer Service Representatives,3,1100,1480,3.4,40,30,70,8.40,11.10,High school diploma or equivalent,None,Short-term on-the-job training
43-4081,"Hotel, Motel, and Resort Desk Clerks",1,280,350,2.5,10,10,20,8.10,9.40,High school diploma or equivalent,None,Short-term on-the-job training
43-4171,Receptionists and Information Clerks,1,610,790,3,20,20,30,8.20,10.30,High school diploma or equivalent,None,Short-term on-the-job training
43-4199,"Information and Record Clerks, All Other",,70,70,-0.3,0,0,0,12.70,15.10,High school diploma or equivalent,None,Short-term on-the-job training
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",,1220,1480,2.1,30,30,60,,,,,
43-5021,Couriers and Messengers,0,60,70,1.6,0,0,0,9.20,11.20,High school diploma or equivalent,None,Short-term on-the-job training
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",4,200,270,3.4,10,10,10,12.80,16.80,High school diploma or equivalent,None,Moderate-term on-the-job training
43-5052,Postal Service Mail Carriers,3,90,90,-0.6,0,0,0,18.40,25.90,High school diploma or equivalent,None,Short-term on-the-job training
43-5061,"Production, Planning, and Expediting Clerks",3,110,140,2.8,0,0,10,11.00,13.40,High school diploma or equivalent,None,Moderate-term on-the-job training
43-5071,"Shipping, Receiving, and Traffic Clerks",4,190,230,2.2,0,10,10,11.00,15.70,High school diploma or equivalent,None,Short-term on-the-job training
43-5081,Stock Clerks and Order Fillers,3,490,600,2.1,10,20,30,8.20,11.00,Less than high school,None,Short-term on-the-job training
43-6000,Secretaries and Administrative Assistants,,1740,2430,4,70,20,90,,,,,
43-6011,Executive Secretaries and Executive Administrative Assistants,3,240,280,1.8,0,0,10,16.40,22.20,High school diploma or equivalent,Less than 5 years,None
43-6012,Legal Secretaries,2,50,60,2.7,0,0,0,15.80,17.80,High school diploma or equivalent,None,Moderate-term on-the-job training
43-6013,Medical Secretaries,3,310,470,5,20,0,20,12.00,14.00,High school diploma or equivalent,None,Moderate-term on-the-job training
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4,1140,1620,4.2,50,10,60,11.00,14.60,High school diploma or equivalent,None,Short-term on-the-job training
43-9000,Other Office and Administrative Support Workers,,1260,1610,2.7,40,30,60,,,,,
43-9021,Data Entry Keyers,0,50,50,-1.3,0,0,0,10.50,13.70,High school diploma or equivalent,None,Moderate-term on-the-job training
43-9061,"Office Clerks, General",3,1140,1490,3,40,20,60,8.90,11.40,High school diploma or equivalent,None,Short-term on-the-job training
45-0000,"Farming, Fishing, and Forestry Occupations",,270,260,-0.8,0,10,10,,,,,
45-2000,Agricultural Workers,,260,250,-0.3,0,10,10,,,,,
47-0000,Construction and Extraction Occupations,,3750,5940,5.8,220,60,280,11.20,16.30,,,
47-1000,Supervisors of Construction and Extraction Workers,,280,460,6.3,20,0,20,,,,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,5,280,460,6.3,20,0,20,17.10,24.50,High school diploma or equivalent,5 years or more,None
47-2000,Construction Trades Workers,,3160,4990,5.8,180,50,240,,,,,
47-2031,Carpenters,4,610,1040,6.9,40,10,50,9.90,14.50,High school diploma or equivalent,None,Apprenticeship
47-2044,Tile and Marble Setters,3,80,110,4.2,0,0,0,13.80,19.50,Less than high school,None,Long-term on-the-job training
47-2051,Cement Masons and Concrete Finishers,4,230,400,7.8,20,0,20,11.70,14.50,Less than high school,None,Moderate-term on-the-job training
47-2061,Construction Laborers,3,690,1110,6.1,40,20,60,8.90,12.40,Less than high school,None,Short-term on-the-job training
47-2073,Operating Engineers and Other Construction Equipment Operators,5,320,480,5.1,20,10,20,15.90,19.80,High school diploma or equivalent,None,Moderate-term on-the-job training
47-2081,Drywall and Ceiling Tile Installers,4,170,250,4.3,10,0,10,15.40,17.70,Less than high school,None,Moderate-term on-the-job training
47-2111,Electricians,5,200,290,4.2,10,0,10,17.90,21.50,High school diploma or equivalent,None,Apprenticeship
47-2141,"Painters, Construction and Maintenance",4,200,300,5.1,10,0,10,10.80,15.50,Less than high school,None,Moderate-term on-the-job training
47-2152,"Plumbers, Pipefitters, and Steamfitters",5,180,250,4.4,10,0,10,16.30,18.10,High school diploma or equivalent,None,Apprenticeship
47-2161,Plasterers and Stucco Masons,4,120,230,9.7,10,0,10,14.00,16.80,Less than high school,None,Long-term on-the-job training
47-3000,"Helpers, Construction Trades",,200,330,6.4,10,0,20,,,,,
47-4000,Other Construction and Related Workers,,90,120,3.6,0,0,10,,,,,
49-0000,"Installation, Maintenance, and Repair Occupations",,1910,2520,3.2,60,50,110,11.40,17.50,,,
49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",,130,160,2.9,0,0,10,,,,,
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",3,130,160,2.9,0,0,10,17.90,24.50,High school diploma or equivalent,Less than 5 years,None
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",,140,150,0.8,0,0,0,,,,,
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",2,60,60,-0.3,0,0,0,17.70,30.00,Postsecondary non-degree award,None,Moderate-term on-the-job training
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",,730,960,3.2,20,20,40,,,,,
