SOC Code,Occupation Title,Star Rating,Employment Estimates 2012,Employment Estimates 2022,Annual Growth Rate,Annual Openings Growth,Annual Openings Replacements,Annual Openings Total,Hourly Wages Inexperienced,Hourly Wages Median,Education,Work Experience,Job Training
29-1000,Health Diagnosing and Treating Practitioners,,620,770,2.5,20,10,30,,,,,
29-1021,"Dentists, General",,40,50,2.9,0,0,0,44.30,62.30,Doctoral or professional degree,None,None
29-1051,Pharmacists,1,50,60,2.1,0,0,0,47.90,57.60,Doctoral or professional degree,None,None
29-1141,Registered Nurses,5,290,370,2.6,10,10,10,23.40,29.50,Associate's degree,None,None
29-2000,Health Technologists and Technicians,,540,680,2.6,10,10,30,,,,,
29-2021,Dental Hygienists,3,70,90,4,0,0,10,26.20,31.20,Associate's degree,None,None
29-2041,Emergency Medical Technicians and Paramedics,4,210,260,2.3,10,10,10,9.80,12.00,Postsecondary non-degree award,None,None
29-2052,Pharmacy Technicians,1,60,70,2.8,0,0,0,12.80,14.70,High school diploma or equivalent,None,Moderate-term on-the-job training
31-0000,Healthcare Support Occupations,,470,610,3,10,10,20,9.70,11.90,,,
31-1000,"Nursing, Psychiatric, and Home Health Aides",,230,290,2.8,10,0,10,,,,,
31-1014,Nursing Assistants,3,220,280,2.7,10,0,10,9.00,10.60,Postsecondary non-degree award,None,None
31-9000,Other Healthcare Support Occupations,,240,310,3.1,10,10,10,,,,,
31-9091,Dental Assistants,3,110,140,3.1,0,0,10,10.30,13.00,Postsecondary non-degree award,None,None
31-9092,Medical Assistants,3,100,130,2.8,0,0,10,11.60,13.70,Postsecondary non-degree award,None,None
33-0000,Protective Service Occupations,,520,610,1.7,10,20,30,9.50,16.80,,,
33-1000,Supervisors of Protective Service Workers,,50,60,1.2,0,0,0,,,,,
33-2000,Fire Fighting and Prevention Workers,,50,60,1.2,0,0,0,,,,,
33-2011,Firefighters,1,50,60,1.2,0,0,0,8.00,12.00,Postsecondary non-degree award,None,Long-term on-the-job training
33-3000,Law Enforcement Workers,,240,280,1.9,0,10,10,,,,,
33-3012,Correctional Officers and Jailers,2,70,90,2.1,0,0,0,16.10,17.60,High school diploma or equivalent,None,Moderate-term on-the-job training
33-3051,Police and Sheriff's Patrol Officers,4,130,160,1.8,0,0,10,16.10,18.70,High school diploma or equivalent,None,Moderate-term on-the-job training
33-9000,Other Protective Service Workers,,190,220,1.7,0,10,10,,,,,
33-9032,Security Guards,1,90,110,2.3,0,0,0,8.00,9.10,High school diploma or equivalent,None,Short-term on-the-job training
33-9099,"Protective Service Workers, All Other",,50,50,0.7,0,0,0,,,High school diploma or equivalent,None,Short-term on-the-job training
35-0000,Food Preparation and Serving Related Occupations,,2580,3210,2.4,60,100,160,8.10,8.90,,,
35-1000,Supervisors of Food Preparation and Serving Workers,,160,200,2.7,0,0,10,,,,,
35-2000,Cooks and Food Preparation Workers,,570,700,2.2,10,10,30,,,,,
35-2011,"Cooks, Fast Food",0,50,60,1.4,0,0,0,8.10,9.10,Less than high school,None,Short-term on-the-job training
35-2012,"Cooks, Institution and Cafeteria",0,70,80,1.6,0,0,0,9.50,11.60,Less than high school,None,Short-term on-the-job training
35-2014,"Cooks, Restaurant",4,310,390,2.8,10,10,20,8.00,9.90,Less than high school,Less than 5 years,Moderate-term on-the-job training
35-2021,Food Preparation Workers,3,120,140,1.8,0,0,10,8.10,8.90,Less than high school,None,Short-term on-the-job training
35-3000,Food and Beverage Serving Workers,,1450,1830,2.6,40,60,100,,,,,
35-3011,Bartenders,3,50,70,3.8,0,0,0,,,Less than high school,None,Short-term on-the-job training
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",4,850,1100,3,30,30,60,8.10,8.60,Less than high school,None,Short-term on-the-job training
35-3031,Waiters and Waitresses,4,540,640,1.9,10,30,40,8.00,8.80,Less than high school,None,Short-term on-the-job training
35-9000,Other Food Preparation and Serving Related Workers,,390,470,2,10,20,30,,,,,
35-9021,Dishwashers,3,190,230,2.2,0,10,10,8.00,8.40,Less than high school,None,Short-term on-the-job training
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",3,70,80,1.5,0,10,10,8.00,8.60,Less than high school,None,None
37-0000,Building and Grounds Cleaning and Maintenance Occupations,,1310,1610,2.2,30,30,60,8.10,9.30,,,
37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,,140,200,3.5,10,0,10,,,,,
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,3,120,170,3.4,0,0,10,10.10,11.80,High school diploma or equivalent,Less than 5 years,None
37-2000,Building Cleaning and Pest Control Workers,,970,1140,1.8,20,20,40,,,,,
51-7000,Woodworkers,,80,110,4.3,0,0,0,,,,,
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",3,310,380,1.9,10,10,10,8.60,11.10,Less than high school,None,Short-term on-the-job training
37-2012,Maids and Housekeeping Cleaners,4,650,770,1.8,10,10,30,8.10,8.80,Less than high school,None,Short-term on-the-job training
37-3000,Grounds Maintenance Workers,,200,270,3.1,10,10,10,,,,,
37-3011,Landscaping and Groundskeeping Workers,3,180,240,2.9,10,10,10,8.00,9.20,Less than high school,None,Short-term on-the-job training
39-0000,Personal Care and Service Occupations,,1030,1280,2.4,30,30,60,8.10,9.80,,,
39-1000,Supervisors of Personal Care and Service Workers,,80,100,2.6,0,0,0,,,,,
39-1021,First-Line Supervisors of Personal Service Workers,2,80,100,2.6,0,0,0,12.60,18.60,High school diploma or equivalent,Less than 5 years,None
39-2000,Animal Care and Service Workers,,270,350,2.8,10,10,10,,,,,
39-3000,Entertainment Attendants and Related Workers,,120,150,1.8,0,10,10,,,,,
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",3,50,60,1.9,0,0,0,8.10,8.40,Less than high school,None,Short-term on-the-job training
39-3091,Amusement and Recreation Attendants,1,60,70,1.8,0,0,0,8.10,8.70,Less than high school,None,Short-term on-the-job training
39-5000,Personal Appearance Workers,,60,80,3,0,0,0,,,,,
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",1,60,80,3.2,0,0,0,,,Postsecondary non-degree award,None,None
39-7000,Tour and Travel Guides,,60,80,2.9,0,0,10,,,,,
39-7011,Tour Guides and Escorts,1,60,70,2,0,0,0,8.10,9.20,High school diploma or equivalent,None,Moderate-term on-the-job training
39-9000,Other Personal Care and Service Workers,,410,500,2.2,10,10,20,,,,,
39-9011,Childcare Workers,3,210,260,2.1,0,10,10,8.10,8.80,High school diploma or equivalent,None,Short-term on-the-job training
39-9032,Recreation Workers,0,60,80,2.3,0,0,0,8.00,9.00,Bachelor's degree,None,None
39-9041,Residential Advisors,4,100,140,3.6,0,0,10,10.00,10.80,High school diploma or equivalent,None,Short-term on-the-job training
41-0000,Sales and Related Occupations,,2580,3000,1.6,40,90,130,8.10,9.30,,,
41-1000,Supervisors of Sales Workers,,370,440,1.8,10,10,20,,,,,
41-1011,First-Line Supervisors of Retail Sales Workers,4,360,420,1.7,10,10,10,10.40,16.10,High school diploma or equivalent,Less than 5 years,None
41-2000,Retail Sales Workers,,1850,2110,1.4,30,70,100,,,,,
41-2011,Cashiers,4,1100,1230,1.2,10,50,60,8.10,8.80,Less than high school,None,Short-term on-the-job training
41-2021,Counter and Rental Clerks,,40,50,1.3,0,0,0,,,Less than high school,None,Short-term on-the-job training
41-2022,Parts Salespersons,3,90,100,1.6,0,0,0,9.90,13.50,Less than high school,None,Moderate-term on-the-job training
41-2031,Retail Salespersons,4,620,730,1.8,10,20,30,8.10,9.40,Less than high school,None,Short-term on-the-job training
41-3000,"Sales Representatives, Services",,140,180,3.1,0,0,10,,,,,
41-3021,Insurance Sales Agents,3,80,110,3.9,0,0,10,9.50,13.70,High school diploma or equivalent,None,Moderate-term on-the-job training
41-4000,"Sales Representatives, Wholesale and Manufacturing",,130,150,2.1,0,0,10,,,,,
41-9000,Other Sales and Related Workers,,100,130,3.2,0,0,0,,,,,
41-9022,Real Estate Sales Agents,3,60,80,3.4,0,0,0,8.30,15.40,High school diploma or equivalent,None,Long-term on-the-job training
43-0000,Office and Administrative Support Occupations,,3810,4690,2.3,90,90,180,8.70,11.80,,,
43-1000,Supervisors of Office and Administrative Support Workers,,220,260,2,0,10,10,,,,,
43-1011,First-Line Supervisors of Office and Administrative Support Workers,4,220,260,2,0,10,10,13.80,17.60,High school diploma or equivalent,Less than 5 years,None
43-3021,Billing and Posting Clerks,3,80,100,2.4,0,0,0,,,High school diploma or equivalent,None,Short-term on-the-job training
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",5,330,430,3,10,0,10,8.10,12.80,High school diploma or equivalent,None,Moderate-term on-the-job training
43-3071,Tellers,4,130,160,2.5,0,10,10,10.50,11.20,High school diploma or equivalent,None,Short-term on-the-job training
43-4000,Information and Record Clerks,,1280,1700,3.3,40,40,80,,,,,
43-4031,"Court, Municipal, and License Clerks",,40,40,2.6,0,0,0,11.50,13.60,High school diploma or equivalent,None,Moderate-term on-the-job training
43-4051,Customer Service Representatives,4,550,830,5.3,30,20,40,8.70,10.70,High school diploma or equivalent,None,Short-term on-the-job training
43-4061,"Eligibility Interviewers, Government Programs",1,50,60,2,0,0,0,15.90,16.90,High school diploma or equivalent,None,Moderate-term on-the-job training
43-4081,"Hotel, Motel, and Resort Desk Clerks",4,270,320,2,10,10,20,8.10,9.60,High school diploma or equivalent,None,Short-term on-the-job training
43-4121,"Library Assistants, Clerical",1,50,60,2.7,0,0,0,8.20,8.80,High school diploma or equivalent,None,Short-term on-the-job training
43-4171,Receptionists and Information Clerks,3,220,270,1.8,0,10,10,8.20,9.50,High school diploma or equivalent,None,Short-term on-the-job training
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",,430,450,0.5,0,10,10,,,,,
43-5052,Postal Service Mail Carriers,,40,40,0.6,0,0,0,19.90,26.80,High school diploma or equivalent,None,Short-term on-the-job training
43-5071,"Shipping, Receiving, and Traffic Clerks",1,60,60,0.5,0,0,0,11.10,14.60,High school diploma or equivalent,None,Short-term on-the-job training
43-5081,Stock Clerks and Order Fillers,3,200,210,0.2,0,10,10,8.10,9.90,Less than high school,None,Short-term on-the-job training
43-6000,Secretaries and Administrative Assistants,,680,800,1.9,10,10,20,,,,,
43-6011,Executive Secretaries and Executive Administrative Assistants,1,90,90,0.1,0,0,0,14.80,19.10,High school diploma or equivalent,Less than 5 years,None
43-6013,Medical Secretaries,3,100,130,3.9,0,0,10,10.70,12.90,High school diploma or equivalent,None,Moderate-term on-the-job training
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",5,490,580,1.8,10,10,20,10.20,14.30,High school diploma or equivalent,None,Short-term on-the-job training
43-9000,Other Office and Administrative Support Workers,,600,710,1.9,10,10,20,,,,,
43-9061,"Office Clerks, General",3,520,630,2.2,10,10,20,8.30,10.90,High school diploma or equivalent,None,Short-term on-the-job training
45-0000,"Farming, Fishing, and Forestry Occupations",,740,770,0.3,0,20,30,8.70,11.50,,,
45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",,70,80,2.2,0,0,0,,,,,
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3,70,80,2.2,0,0,0,,,High school diploma or equivalent,Less than 5 years,None
45-2000,Agricultural Workers,,680,690,0.1,0,20,20,,,,,
45-2091,Agricultural Equipment Operators,3,90,110,2.7,0,0,10,,,Less than high school,None,Short-term on-the-job training
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0,60,70,0.5,0,0,0,,,Less than high school,None,Short-term on-the-job training
47-0000,Construction and Extraction Occupations,,1290,1960,5.3,70,20,90,10.60,15.50,,,
47-1000,Supervisors of Construction and Extraction Workers,,90,130,4.7,0,0,10,,,,,
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,3,90,130,4.7,0,0,10,18.00,26.30,High school diploma or equivalent,5 years or more,None
47-2000,Construction Trades Workers,,870,1400,6.2,50,20,70,,,,,
47-2031,Carpenters,5,200,340,6.8,10,0,20,11.70,15.70,High school diploma or equivalent,None,Apprenticeship
47-2051,Cement Masons and Concrete Finishers,5,100,180,8.5,10,0,10,9.00,14.40,Less than high school,None,Moderate-term on-the-job training
47-2061,Construction Laborers,5,280,460,6.3,20,10,20,9.50,12.90,Less than high school,None,Short-term on-the-job training
47-2073,Operating Engineers and Other Construction Equipment Operators,4,100,150,5.3,10,0,10,14.60,18.90,High school diploma or equivalent,None,Moderate-term on-the-job training
47-2141,"Painters, Construction and Maintenance",,40,60,5.9,0,0,0,,,Less than high school,None,Moderate-term on-the-job training
47-2152,"Plumbers, Pipefitters, and Steamfitters",3,50,70,4,0,0,0,15.40,19.40,High school diploma or equivalent,None,Apprenticeship
47-3000,"Helpers, Construction Trades",,50,90,5.9,0,0,0,,,,,
47-4000,Other Construction and Related Workers,,230,270,1.6,0,0,10,,,,,
47-4031,Fence Erectors,1,80,100,1.5,0,0,0,,,High school diploma or equivalent,None,Moderate-term on-the-job training
47-4051,Highway Maintenance Workers,1,120,130,1.1,0,0,0,14.30,18.60,High school diploma or equivalent,None,Moderate-term on-the-job training
47-5000,Extraction Workers,,50,80,6.5,0,0,0,,,,,
47-5041,Continuous Mining Machine Operators,,40,60,7.8,0,0,0,,,High school diploma or equivalent,None,Moderate-term on-the-job training
49-0000,"Installation, Maintenance, and Repair Occupations",,1170,1410,2.1,30,30,50,10.30,17.50,,,
49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",,90,110,1.7,0,0,0,,,,,
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2,90,110,1.7,0,0,0,17.20,26.20,High school diploma or equivalent,Less than 5 years,None
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",,60,90,3.3,0,0,0,,,,,
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",,340,420,2.2,10,10,20,,,,,
49-3023,Automotive Service Technicians and Mechanics,3,170,210,2.2,0,0,10,8.50,14.60,High school diploma or equivalent,None,Long-term on-the-job training
49-9000,"Other Installation, Maintenance, and Repair Occupations",,670,800,2,10,10,30,,,,,
49-9041,Industrial Machinery Mechanics,,40,60,7,0,0,0,,,High school diploma or equivalent,None,Long-term on-the-job training
49-9051,Electrical Power-Line Installers and Repairers,,40,50,2.7,0,0,0,31.80,37.30,High school diploma or equivalent,None,Long-term on-the-job training
49-9071,"Maintenance and Repair Workers, General",5,500,580,1.5,10,10,20,10.10,16.50,High school diploma or equivalent,None,Long-term on-the-job training
51-0000,Production Occupations,,1160,1840,5.9,70,20,100,10.10,14.20,,,
51-1000,Supervisors of Production Workers,,110,160,5.5,10,0,10,,,,,
51-1011,First-Line Supervisors of Production and Operating Workers,5,110,160,5.5,10,0,10,14.70,22.70,Postsecondary non-degree award,Less than 5 years,None
51-2000,Assemblers and Fabricators,,110,380,23.6,30,0,30,,,,,
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",,40,290,63.6,30,0,30,,,High school diploma or equivalent,None,Moderate-term on-the-job training
51-2092,Team Assemblers,,40,50,2.8,0,0,0,8.30,9.30,High school diploma or equivalent,None,Moderate-term on-the-job training
51-3000,Food Processing Workers,,120,140,1.5,0,0,10,,,,,
51-3021,Butchers and Meat Cutters,0,50,60,1.5,0,0,0,10.40,10.80,Less than high school,None,Long-term on-the-job training
51-4000,Metal Workers and Plastic Workers,,210,320,5.4,10,0,20,,,,,
51-4121,"Welders, Cutters, Solderers, and Brazers",3,80,100,2.4,0,0,0,11.20,16.10,High school diploma or equivalent,None,Moderate-term on-the-job training
51-6000,"Textile, Apparel, and Furnishings Workers",,70,90,2.5,0,0,0,,,,,
51-6011,Laundry and Dry-Cleaning Workers,3,60,80,2.4,0,0,0,8.10,9.30,Less than high school,None,Short-term on-the-job training
51-8000,Plant and System Operators,,70,90,2.9,0,0,0,,,,,
51-9000,Other Production Occupations,,380,530,4,20,10,20,,,,,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",1,70,70,-0.6,0,0,0,,,High school diploma or equivalent,None,Moderate-term on-the-job training
53-0000,Transportation and Material Moving Occupations,,1570,1920,2.3,40,30,70,8.30,12.80,,,
53-1000,Supervisors of Transportation and Material Moving Workers,,40,50,1.4,0,0,0,,,,,
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,,40,50,1.8,0,0,0,16.60,17.10,High school diploma or equivalent,Less than 5 years,None
53-3000,Motor Vehicle Operators,,830,980,1.8,20,10,30,,,,,
53-3032,Heavy and Tractor-Trailer Truck Drivers,5,430,510,1.9,10,10,20,11.60,24.30,Postsecondary non-degree award,None,Short-term on-the-job training
53-3033,Light Truck or Delivery Services Drivers,4,320,370,1.6,10,10,10,8.10,9.40,High school diploma or equivalent,None,Short-term on-the-job training
53-3041,Taxi Drivers and Chauffeurs,0,60,80,2.5,0,0,0,8.90,10.90,Less than high school,None,Short-term on-the-job training
53-4000,Rail Transportation Workers,,60,70,0.7,0,0,0,,,,,
53-6000,Other Transportation Workers,,70,80,1.8,0,0,0,,,,,
53-7000,Material Moving Workers,,560,740,3.3,20,20,30,,,,,
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",4,150,190,2.2,0,10,10,8.60,11.60,Less than high school,None,Short-term on-the-job training
53-7064,"Packers and Packagers, Hand",5,320,460,4.5,10,10,20,8.40,11.90,Less than high school,None,Short-term on-the-job training
